MoviePersonID(Integer),FirstName(String),LastName(String),CrewTitleID(Integer),MovieID(Integer),Title(String),YearReleased(Integer),Quantity(Integer)
1071,Frank,B. Moore,1,125,Scary Movie ,2000,20
1785,Courtney,B. Vance,1,224,The Hunt for Red October ,1990,36
1521,Kirk,B.R. Woller,1,183,Minority Report ,2002,11
75,John,Bach,1,8,The Lord of the Rings: The Return of the King ,2003,33
75,John,Bach,1,12,The Lord of the Rings: The Two Towers ,2002,38
286,Susan,Backlinie,1,33,Jaws ,1975,17
899,Kevin,Bacon,1,103,Apollo 13 ,1995,4
899,Kevin,Bacon,1,153,A Few Good Men ,1992,31
2397,Hermione,Baddeley,1,315,Mary Poppins ,1964,33
830,Diedrich,Bader,1,94,Ice Age ,2002,22
1072,Giacomo,Baessato,1,125,Scary Movie ,2000,20
1835,Larry,Bagby,1,231,Walk the Line ,2005,24
832,Lorri,Bagley,1,94,Ice Age ,2002,22
1813,Tim,Bagley,1,228,The Mask ,1994,36
2005,Ling,Bai,1,254,Wild Wild West ,1999,21
231,Helmut,Bakaitis,1,27,The Matrix Reloaded ,2003,19
231,Helmut,Bakaitis,1,162,The Matrix Revolutions ,2003,27
19,Kenny,Baker,1,2,Star Wars ,1977,15
19,Kenny,Baker,1,24,Star Wars: Episode V - The Empire Strikes Back ,1980,19
84,Dylan,Baker,1,9,Spider-Man 2 ,2004,10
106,Sala,Baker,1,12,The Lord of the Rings: The Two Towers ,2002,38
106,Sala,Baker,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
1637,Joe,Baker,1,199,Dumb & Dumber ,1994,20
1845,Ray,Baker,1,232,Total Recall ,1990,24
339,Philip,Baker Hall,1,39,Bruce Almighty ,2003,15
339,Philip,Baker Hall,1,237,The Sum of All Fears ,2002,12
1858,James,Baker III,1,234,Fahrenheit 9/11 ,2004,13
1561,Scott,Bakula,1,188,American Beauty ,1999,23
1589,Bob,Balaban,1,193,Close Encounters of the Third Kind ,1977,27
613,Alec,Baldwin,1,68,Pearl Harbor ,2001,29
613,Alec,Baldwin,1,224,The Hunt for Red October ,1990,36
613,Alec,Baldwin,1,268,Fun with Dick and Jane ,2005,5
613,Alec,Baldwin,1,311,The Aviator ,2004,18
613,Alec,Baldwin,1,333,The Cat in the Hat ,2003,20
789,Judith,Baldwin,1,89,Pretty Woman ,1990,15
1907,Bill,Baldwin,1,241,Rocky ,1976,15
551,Christian,Bale,1,62,Batman Begins ,2005,19
551,Christian,Bale,1,151,Pocahontas ,1995,23
2231,Katharine,Balfour,1,291,Love Story ,1970,33
1021,Fairuza,Balk,1,118,The Waterboy ,1998,14
2108,Jianna,Ballard,1,271,Scary Movie 3 ,2003,22
223,Gerry,Bamman,1,26,Home Alone ,1990,28
223,Gerry,Bamman,1,98,Home Alone 2: Lost in New York ,1992,33
1498,Eric,Bana,1,180,Troy ,2004,26
1498,Eric,Bana,1,182,Hulk ,2003,5
1498,Eric,Bana,1,277,Black Hawk Down ,2001,16
2305,Anne,Bancroft,1,301,The Graduate ,1967,26
28,Antonio,Banderas,1,3,Shrek 2 ,2004,45
28,Antonio,Banderas,1,259,Spy Kids ,2001,7
28,Antonio,Banderas,1,264,Spy Kids 3-D: Game Over ,2003,16
28,Antonio,Banderas,1,298,Interview with the Vampire: The Vampire Chronicles ,1994,16
392,Jonathan,Banks,1,44,Beverly Hills Cop ,1984,22
2143,Elizabeth,Banks,1,275,The 40 Year Old Virgin ,2005,13
272,Christine,Baranski,1,32,How the Grinch Stole Christmas ,2000,27
272,Christine,Baranski,1,214,The Birdcage ,1996,22
2326,Ian,Barford,1,304,Road to Perdition ,2002,26
2514,Patrick,Barlow,1,336,Shakespeare in Love ,1998,44
2256,Walter,Barnes,1,294,Every Which Way But Loose ,1978,13
629,Sacha,Baron Cohen,1,70,Madagascar ,2005,27
1527,Chris,Barrie,1,184,Lara Croft: Tomb Raider ,2001,23
1642,Thom,Barry,1,200,2 Fast 2 Furious ,2003,13
37,Drew,Barrymore,1,4,E.T. the Extra-Terrestrial ,1982,19
37,Drew,Barrymore,1,78,Batman Forever ,1995,23
37,Drew,Barrymore,1,210,Charlie's Angels ,2000,23
37,Drew,Barrymore,1,223,50 First Dates ,2004,29
37,Drew,Barrymore,1,307,Scream ,1996,17
37,Drew,Barrymore,1,329,Charlie's Angels: Full Throttle ,2003,20
877,Justin,Bartha,1,100,National Treasure ,2004,20
2053,Bonnie,Bartlett,1,263,Twins ,1988,36
188,Mischa,Barton,1,22,The Sixth Sense ,1999,25
2493,Jay,Baruchel,1,334,Million Dollar Baby ,2004,23
303,Kim,Basinger,1,35,Batman ,1989,18
303,Kim,Basinger,1,243,8 Mile ,2002,27
232,Steve,Bastoni,1,27,The Matrix Reloaded ,2003,19
5,Kathy,Bates,1,1,Titanic ,1997,32
5,Kathy,Bates,1,118,The Waterboy ,1998,14
1606,Paul,Bates,1,195,Coming to America ,1988,36
233,Don,Battee,1,27,The Matrix Reloaded ,2003,19
1139,Cate,Bauer,1,134,One Hundred and One Dalmatians ,1961,24
980,Nathalie,Baye,1,113,Catch Me If You Can ,2002,22
1372,Kate,Beahan,1,162,The Matrix Revolutions ,2003,27
76,Sean,Bean,1,8,The Lord of the Rings: The Return of the King ,2003,33
76,Sean,Bean,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
76,Sean,Bean,1,100,National Treasure ,2004,20
76,Sean,Bean,1,288,GoldenEye ,1995,23
2512,Steven,Beard,1,336,Shakespeare in Love ,1998,44
757,Emmanuelle,Béart,1,86,Mission: Impossible ,1996,29
1879,John,Beasley,1,237,The Sum of All Fears ,2002,12
948,Bruce,Beaton,1,108,Chicago ,2002,35
1479,Ned,Beatty,1,177,Superman ,1978,26
1479,Ned,Beatty,1,281,Superman II ,1980,34
2327,Warren,Beatty,1,305,Dick Tracy ,1990,22
63,Gerry,Becker,1,6,Spider-Man ,2002,23
610,Kate,Beckinsale,1,68,Pearl Harbor ,2001,29
610,Kate,Beckinsale,1,227,Van Helsing ,2004,13
610,Kate,Beckinsale,1,311,The Aviator ,2004,18
1282,Irene,Bedard,1,151,Pocahontas ,1995,23
1896,Bonnie,Bedelia,1,240,Die Hard 2 ,1990,35
840,John,Bedford Lloyd,1,95,The Bourne Supremacy ,2004,18
2145,Gerry,Bednob,1,275,The 40 Year Old Virgin ,2005,13
956,Francine,Beers,1,109,Three Men and a Baby ,1987,19
2360,Peter,Behn,1,309,Bambi ,1942,28
2096,Jason,Behr,1,270,The Grudge ,2004,31
807,Doris,Belack,1,91,Tootsie ,1982,31
340,Catherine,Bell,1,39,Bruce Almighty ,2003,15
456,Jamie,Bell,1,51,King Kong ,2005,10
1373,Francine,Bell,1,162,The Matrix Revolutions ,2003,27
1768,Dan,Bell,1,220,Wayne's World ,1992,27
1841,Marshall,Bell,1,232,Total Recall ,1990,24
1841,Marshall,Bell,1,263,Twins ,1988,36
2519,Laura,Bell Bundy,1,337,Jumanji ,1995,27
1608,Vanessa,Bell Calloway,1,195,Coming to America ,1988,36
1585,Rachael,Bella,1,192,The Ring ,2002,16
782,Ralph,Bellamy,1,89,Pretty Woman ,1990,15
90,Monica,Bellucci,1,10,The Passion of the Christ ,2004,9
90,Monica,Bellucci,1,27,The Matrix Reloaded ,2003,19
90,Monica,Bellucci,1,162,The Matrix Revolutions ,2003,27
1290,John,Belushi,1,152,Animal House ,1978,32
2013,Paul,Benedict,1,255,The Addams Family ,1991,18
1556,Annette,Bening,1,188,American Beauty ,1999,23
2298,John,Bennett Perry,1,299,George of the Jungle ,1997,22
2296,Abraham,Benrubi,1,299,George of the Jungle ,1997,22
917,Robby,Benson,1,105,Beauty and the Beast ,1991,24
2113,Jodi,Benson,1,272,The Little Mermaid ,1989,38
1922,Omar,Benson Miller,1,243,8 Mile ,2002,27
1558,Wes,Bentley,1,188,American Beauty ,1999,23
1407,Tom,Berenger,1,167,Platoon ,1986,16
2544,Peter,Berg,1,342,Collateral ,2004,26
1628,Candice,Bergen,1,198,Sweet Home Alabama ,2002,30
1628,Candice,Bergen,1,285,Miss Congeniality ,2000,21
2413,Patrick,Bergin,1,319,Sleeping with the Enemy ,1991,16
896,Xander,Berkeley,1,102,Air Force One ,1997,31
2285,Elizabeth,Berkley,1,297,The First Wives Club ,1996,16
390,Steven,Berkoff,1,44,Beverly Hills Cop ,1984,22
390,Steven,Berkoff,1,136,Rambo: First Blood Part II ,1985,40
733,Jason,Bernard,1,83,Liar Liar ,1997,39
1167,Chopper,Bernet,1,137,Terminator 3: Rise of the Machines ,2003,11
234,Daniel,Bernhardt,1,27,The Matrix Reloaded ,2003,19
235,Valerie,Berry,1,27,The Matrix Reloaded ,2003,19
504,Halle,Berry,1,56,X2 ,2003,26
504,Halle,Berry,1,120,Die Another Day ,2002,14
504,Halle,Berry,1,124,X-Men ,2000,27
504,Halle,Berry,1,187,The Flintstones ,1994,31
504,Halle,Berry,1,194,Robots ,2005,5
2046,Michael,Berryman,1,262,One Flew Over the Cuckoo's Nest ,1975,33
92,Toni,Bertorelli,1,10,The Passion of the Christ ,2004,9
937,Paul,Bettany,1,107,A Beautiful Mind ,2001,14
1090,Victoria,Bidewell,1,127,What Lies Beneath ,2000,23
1487,Michael,Biehn,1,178,The Rock ,1996,14
1214,Jason,Biggs,1,143,American Pie 2 ,2001,24
1214,Jason,Biggs,1,302,American Wedding ,2003,34
1214,Jason,Biggs,1,316,American Pie ,1999,18
1557,Thora,Birch,1,188,American Beauty ,1999,23
1762,Christopher,Birt,1,219,The Bodyguard ,1992,27
2157,Troy,Bishop,1,278,Terms of Endearment ,1983,14
2480,Jacqueline,Bisset,1,332,Airport ,1970,14
450,Jack,Black,1,51,King Kong ,2005,10
450,Jack,Black,1,94,Ice Age ,2002,22
450,Jack,Black,1,119,Shark Tale ,2004,26
1374,Rachel,Blackman,1,162,The Matrix Revolutions ,2003,27
576,Linda,Blair,1,64,The Exorcist ,1973,5
957,Lisa,Blair,1,109,Three Men and a Baby ,1987,19
958,Michelle,Blair,1,109,Three Men and a Baby ,1987,19
2450,Geoffrey,Blake,1,327,Contact ,1997,25
1950,Susan,Blakely,1,246,The Towering Inferno ,1974,17
77,Cate,Blanchett,1,8,The Lord of the Rings: The Return of the King ,2003,33
77,Cate,Blanchett,1,12,The Lord of the Rings: The Two Towers ,2002,38
77,Cate,Blanchett,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
77,Cate,Blanchett,1,311,The Aviator ,2004,18
2100,Rosa,Blasi,1,270,The Grudge ,2004,31
1375,Henry,Blasingame,1,162,The Matrix Revolutions ,2003,27
930,Brian,Blessed,1,106,Tarzan ,1999,16
930,Brian,Blessed,1,111,Robin Hood: Prince of Thieves ,1991,16
847,Maggie,Blinco,1,96,Crocodile Dundee ,1986,16
1376,Ian,Bliss,1,162,The Matrix Revolutions ,2003,27
1595,Lucille,Bliss,1,194,Robots ,2005,5
253,Bobby,Block,1,29,Shrek ,2001,22
78,Orlando,Bloom,1,8,The Lord of the Rings: The Return of the King ,2003,33
78,Orlando,Bloom,1,12,The Lord of the Rings: The Two Towers ,2002,38
78,Orlando,Bloom,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
78,Orlando,Bloom,1,21,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,21
1293,Verna,Bloom,1,152,Animal House ,1978,32
219,Roberts,Blossom,1,26,Home Alone ,1990,28
219,Roberts,Blossom,1,193,Close Encounters of the Third Kind ,1977,27
1566,Lisa,Blount,1,189,An Officer and a Gentleman ,1982,6
2361,Thelma,Boardman,1,309,Bambi ,1942,28
587,Freddie,Boath,1,65,The Mummy Returns ,2001,24
592,Billy,Bob Thornton,1,66,Armageddon ,1998,9
592,Billy,Bob Thornton,1,289,Indecent Proposal ,1993,23
1880,Russell,Bobbitt,1,237,The Sum of All Fears ,2002,12
563,Earl,Boen,1,63,Terminator 2: Judgment Day ,1991,11
563,Earl,Boen,1,137,Terminator 3: Rise of the Machines ,2003,11
1652,Samantha,Bond,1,201,The World Is Not Enough ,1999,14
2070,Lisa,Bonet,1,266,Enemy of the State ,1998,41
540,Helena,Bonham Carter,1,60,Charlie and the Chocolate Factory ,2005,5
540,Helena,Bonham Carter,1,87,Planet of the Apes ,2001,22
558,Mark,Boone Junior,1,62,Batman Begins ,2005,19
558,Mark,Boone Junior,1,310,The General's Daughter ,1999,3
959,Philip,Bosco,1,109,Three Men and a Baby ,1987,19
959,Philip,Bosco,1,202,My Best Friend's Wedding ,1997,41
1356,Barry,Bostwick,1,160,The Rocky Horror Picture Show ,1975,6
2135,Dennis,Boutsikaris,1,274,Crocodile' Dundee II ,1988,30
1268,Julie,Bovasso,1,149,Saturday Night Fever ,1977,31
1377,David,Bowers,1,162,The Matrix Revolutions ,2003,27
79,Billy,Boyd,1,8,The Lord of the Rings: The Return of the King ,2003,33
79,Billy,Boyd,1,12,The Lord of the Rings: The Two Towers ,2002,38
79,Billy,Boyd,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
1230,Peter,Boyle,1,144,The Santa Clause ,1994,14
1230,Peter,Boyle,1,148,Doctor Dolittle ,1998,23
1596,Terry,Bradshaw,1,194,Robots ,2005,5
1175,Scott,Brady,1,138,Gremlins ,1984,8
1449,Zach,Braff,1,173,Chicken Little ,2005,19
2364,Dolyn,Bramston Cook,1,309,Bambi ,1942,28
2000,Kenneth,Branagh,1,254,Wild Wild West ,1999,21
1227,Larry,Brandenburg,1,144,The Santa Clause ,1994,14
1470,Marlon,Brando,1,176,The Godfather ,1972,17
1470,Marlon,Brando,1,177,Superman ,1978,26
1638,Hank,Brandt,1,199,Dumb & Dumber ,1994,20
1113,Betsy,Brantley,1,130,Who Framed Roger Rabbit ,1988,33
1754,Benjamin,Bratt,1,218,Clear and Present Danger ,1994,9
1754,Benjamin,Bratt,1,285,Miss Congeniality ,2000,21
1911,Jay,Brazeau,1,242,Double Jeopardy ,1999,1
616,Ewen,Bremner,1,68,Pearl Harbor ,2001,29
616,Ewen,Bremner,1,277,Black Hawk Down ,2001,16
1046,Eileen,Brennan,1,121,The Sting ,1973,25
1086,Tom,Brennan,1,126,Fatal Attraction ,1987,31
2019,Lisa,Brenner,1,256,The Patriot ,2000,19
466,Susan,Breslau,1,52,Ghost ,1990,15
423,Abigail,Breslin,1,48,Signs ,2002,15
1380,Spencer,Breslin,1,163,The Santa Clause 2 ,2002,26
1380,Spencer,Breslin,1,333,The Cat in the Hat ,2003,20
1248,Jordana,Brewster,1,147,The Fast and the Furious ,2001,16
1797,Jeff,Bridges,1,226,Seabiscuit ,2003,33
969,Nick,Brimble,1,111,Robin Hood: Prince of Thieves ,1991,16
1055,Wilford,Brimley,1,122,The Firm ,1993,21
1688,David,Brisbin,1,207,Erin Brockovich ,2000,13
200,Jim,Broadbent,1,23,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,28
200,Jim,Broadbent,1,194,Robots ,2005,5
2047,Peter,Brocco,1,262,One Flew Over the Cuckoo's Nest ,1975,33
1844,Roy,Brocksmith,1,232,Total Recall ,1990,24
136,Matthew,Broderick,1,15,The Lion King ,1994,28
136,Matthew,Broderick,1,172,Godzilla ,1998,23
451,Adrien,Brody,1,51,King Kong ,2005,10
451,Adrien,Brody,1,253,The Village ,2004,46
664,Adam,Brody,1,75,Mr. & Mrs. Smith ,2005,7
982,James,Brolin,1,113,Catch Me If You Can ,2002,22
2310,Walter,Brooke,1,301,The Graduate ,1967,26
113,Albert,Brooks,1,13,Finding Nemo ,2003,21
1597,Mel,Brooks,1,194,Robots ,2005,5
1597,Mel,Brooks,1,230,Blazing Saddles ,1974,31
2216,Joel,Brooks,1,289,Indecent Proposal ,1993,23
2216,Joel,Brooks,1,320,Stir Crazy ,1980,17
80,Sadwyn,Brophy,1,8,The Lord of the Rings: The Return of the King ,2003,33
107,Jed,Brophy,1,12,The Lord of the Rings: The Two Towers ,2002,38
441,Pierce,Brosnan,1,50,Mrs. Doubtfire ,1993,27
441,Pierce,Brosnan,1,120,Die Another Day ,2002,14
441,Pierce,Brosnan,1,201,The World Is Not Enough ,1999,14
441,Pierce,Brosnan,1,209,Tomorrow Never Dies ,1997,26
441,Pierce,Brosnan,1,288,GoldenEye ,1995,23
2049,Alonzo,Brown,1,262,One Flew Over the Cuckoo's Nest ,1975,33
1866,Emily,Browning,1,235,Lemony Snicket's A Series of Unfortunate Events ,2004,24
2536,Larry,Bryggman,1,341,Die Hard: With a Vengeance ,1995,32
1010,Andrew,Bryniarski,1,116,Batman Returns ,1992,36
672,Stuart,Buchanan,1,76,Snow White and the Seven Dwarfs ,1937,12
1134,Craig,Bullock,1,133,Scooby-Doo ,2002,26
1774,Sandra,Bullock,1,222,Speed ,1994,36
1774,Sandra,Bullock,1,276,A Time to Kill ,1996,17
1774,Sandra,Bullock,1,285,Miss Congeniality ,2000,21
1774,Sandra,Bullock,1,323,The Prince of Egypt ,1998,31
1511,Cara,Buono,1,182,Hulk ,2003,5
1174,Susan,Burgess,1,138,Gremlins ,1984,8
2082,Richard,Burgi,1,268,Fun with Dick and Jane ,2005,5
719,Delta,Burke,1,81,What Women Want ,2000,8
482,Edward,Burns,1,54,Saving Private Ryan ,1998,12
1957,Heather,Burns,1,247,You've Got Mail ,1998,8
1957,Heather,Burns,1,285,Miss Congeniality ,2000,21
570,Ellen,Burstyn,1,64,The Exorcist ,1973,5
1621,Tony,Burton,1,197,Rocky IV ,1985,17
1621,Tony,Burton,1,217,Rocky III ,1982,34
294,Steve,Buscemi,1,34,"Monsters, Inc. ",2001,24
294,Steve,Buscemi,1,66,Armageddon ,1998,9
294,Steve,Buscemi,1,325,Con Air ,1997,18
1057,Gary,Busey,1,122,The Firm ,1993,21
1857,Jeb,Bush,1,234,Fahrenheit 9/11 ,2004,13
1716,Paige,Butcher,1,211,Something's Gotta Give ,2003,34
1538,Dan,Butler,1,185,The Silence of the Lambs ,1991,23
1598,Amanda,Bynes,1,194,Robots ,2005,5
1924,Eugene,Byrd,1,243,8 Mile ,2002,27
621,Michael,Byrne,1,69,Indiana Jones and the Last Crusade ,1989,29
2209,Richard,C. Castellano,1,287,Analyze This ,1999,20
862,Michael,C. Maronna,1,98,Home Alone 2: Lost in New York ,1992,33
1411,John,C. McGinley,1,167,Platoon ,1986,16
