GenreName(String),Title(String),Price(Float)
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Action,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,22.45
Fantasy,Star Wars: Episode I - The Phantom Menace ,22.45
Fantasy,Star Wars: Episode I - The Phantom Menace ,22.45
Fantasy,Star Wars: Episode I - The Phantom Menace ,22.45
Fantasy,Star Wars: Episode I - The Phantom Menace ,22.45
Adventure,Star Wars: Episode I - The Phantom Menace ,22.45
Adventure,Star Wars: Episode I - The Phantom Menace ,22.45
Adventure,Star Wars: Episode I - The Phantom Menace ,22.45
Adventure,Star Wars: Episode I - The Phantom Menace ,22.45
Adventure,Star Wars: Episode I - The Phantom Menace ,22.45
Action,Star Wars: Episode I - The Phantom Menace ,22.45
Action,Star Wars: Episode I - The Phantom Menace ,22.45
Action,Star Wars: Episode I - The Phantom Menace ,22.45
Action,Star Wars: Episode I - The Phantom Menace ,22.45
Action,Star Wars: Episode I - The Phantom Menace ,22.45
Fantasy,Spider-Man ,18.99
Fantasy,Spider-Man ,18.99
Fantasy,Spider-Man ,18.99
Fantasy,Spider-Man ,18.99
Thriller,Spider-Man ,18.99
Thriller,Spider-Man ,18.99
Thriller,Spider-Man ,18.99
Thriller,Spider-Man ,18.99
Action,Spider-Man ,18.99
Action,Spider-Man ,18.99
Action,Spider-Man ,18.99
Action,Spider-Man ,18.99
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Fantasy,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Thriller,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Action,Spider-Man ,18.49
Fantasy,Spider-Man ,21.49
Fantasy,Spider-Man ,21.49
Fantasy,Spider-Man ,21.49
Fantasy,Spider-Man ,21.49
Thriller,Spider-Man ,21.49
Thriller,Spider-Man ,21.49
Thriller,Spider-Man ,21.49
Thriller,Spider-Man ,21.49
Action,Spider-Man ,21.49
Action,Spider-Man ,21.49
Action,Spider-Man ,21.49
Action,Spider-Man ,21.49
Action,Star Wars: Episode III - Revenge of the Sith ,16.99
Action,Star Wars: Episode III - Revenge of the Sith ,16.99
Adventure,Star Wars: Episode III - Revenge of the Sith ,16.99
Adventure,Star Wars: Episode III - Revenge of the Sith ,16.99
Fantasy,Star Wars: Episode III - Revenge of the Sith ,16.99
Fantasy,Star Wars: Episode III - Revenge of the Sith ,16.99
Action,Star Wars: Episode III - Revenge of the Sith ,23.45
Action,Star Wars: Episode III - Revenge of the Sith ,23.45
Action,Star Wars: Episode III - Revenge of the Sith ,23.45
Action,Star Wars: Episode III - Revenge of the Sith ,23.45
Action,Star Wars: Episode III - Revenge of the Sith ,23.45
Action,Star Wars: Episode III - Revenge of the Sith ,23.45
Adventure,Star Wars: Episode III - Revenge of the Sith ,23.45
Adventure,Star Wars: Episode III - Revenge of the Sith ,23.45
Adventure,Star Wars: Episode III - Revenge of the Sith ,23.45
Adventure,Star Wars: Episode III - Revenge of the Sith ,23.45
Adventure,Star Wars: Episode III - Revenge of the Sith ,23.45
Adventure,Star Wars: Episode III - Revenge of the Sith ,23.45
Fantasy,Star Wars: Episode III - Revenge of the Sith ,23.45
Fantasy,Star Wars: Episode III - Revenge of the Sith ,23.45
Fantasy,Star Wars: Episode III - Revenge of the Sith ,23.45
Fantasy,Star Wars: Episode III - Revenge of the Sith ,23.45
Fantasy,Star Wars: Episode III - Revenge of the Sith ,23.45
Fantasy,Star Wars: Episode III - Revenge of the Sith ,23.45
Action,Star Wars: Episode III - Revenge of the Sith ,30.95
Action,Star Wars: Episode III - Revenge of the Sith ,30.95
Action,Star Wars: Episode III - Revenge of the Sith ,30.95
Action,Star Wars: Episode III - Revenge of the Sith ,30.95
Adventure,Star Wars: Episode III - Revenge of the Sith ,30.95
Adventure,Star Wars: Episode III - Revenge of the Sith ,30.95
Adventure,Star Wars: Episode III - Revenge of the Sith ,30.95
Adventure,Star Wars: Episode III - Revenge of the Sith ,30.95
Fantasy,Star Wars: Episode III - Revenge of the Sith ,30.95
Fantasy,Star Wars: Episode III - Revenge of the Sith ,30.95
Fantasy,Star Wars: Episode III - Revenge of the Sith ,30.95
Fantasy,Star Wars: Episode III - Revenge of the Sith ,30.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Adventure,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Fantasy,The Lord of the Rings: The Return of the King ,23.95
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Action,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Adventure,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Fantasy,The Lord of the Rings: The Return of the King ,19.45
Action,Spider-Man 2 ,20.95
Action,Spider-Man 2 ,20.95
Action,Spider-Man 2 ,20.95
Action,Spider-Man 2 ,20.95
Action,Spider-Man 2 ,20.95
Action,Spider-Man 2 ,20.95
Fantasy,Spider-Man 2 ,20.95
Fantasy,Spider-Man 2 ,20.95
Fantasy,Spider-Man 2 ,20.95
Fantasy,Spider-Man 2 ,20.95
Fantasy,Spider-Man 2 ,20.95
Fantasy,Spider-Man 2 ,20.95
Thriller,Spider-Man 2 ,20.95
Thriller,Spider-Man 2 ,20.95
Thriller,Spider-Man 2 ,20.95
Thriller,Spider-Man 2 ,20.95
Thriller,Spider-Man 2 ,20.95
Thriller,Spider-Man 2 ,20.95
Drama,The Passion of the Christ ,16.95
Drama,The Passion of the Christ ,16.95
Drama,The Passion of the Christ ,16.95
Drama,The Passion of the Christ ,16.95
Drama,The Passion of the Christ ,16.95
Drama,The Passion of the Christ ,16.95
Biography,The Passion of the Christ ,16.95
Biography,The Passion of the Christ ,16.95
Biography,The Passion of the Christ ,16.95
Biography,The Passion of the Christ ,16.95
Biography,The Passion of the Christ ,16.95
Biography,The Passion of the Christ ,16.95
Action,Jurassic Park ,17.99
Action,Jurassic Park ,17.99
Action,Jurassic Park ,17.99
Action,Jurassic Park ,17.99
Action,Jurassic Park ,17.99
Action,Jurassic Park ,17.99
Adventure,Jurassic Park ,17.99
Adventure,Jurassic Park ,17.99
Adventure,Jurassic Park ,17.99
Adventure,Jurassic Park ,17.99
Adventure,Jurassic Park ,17.99
Adventure,Jurassic Park ,17.99
Drama,Jurassic Park ,17.99
Drama,Jurassic Park ,17.99
Drama,Jurassic Park ,17.99
Drama,Jurassic Park ,17.99
Drama,Jurassic Park ,17.99
Drama,Jurassic Park ,17.99
Horror,Jurassic Park ,17.99
Horror,Jurassic Park ,17.99
Horror,Jurassic Park ,17.99
Horror,Jurassic Park ,17.99
Horror,Jurassic Park ,17.99
Horror,Jurassic Park ,17.99
Action,Jurassic Park ,13.49
Action,Jurassic Park ,13.49
Action,Jurassic Park ,13.49
Action,Jurassic Park ,13.49
Action,Jurassic Park ,13.49
Action,Jurassic Park ,13.49
Adventure,Jurassic Park ,13.49
Adventure,Jurassic Park ,13.49
Adventure,Jurassic Park ,13.49
Adventure,Jurassic Park ,13.49
Adventure,Jurassic Park ,13.49
Adventure,Jurassic Park ,13.49
Drama,Jurassic Park ,13.49
Drama,Jurassic Park ,13.49
Drama,Jurassic Park ,13.49
Drama,Jurassic Park ,13.49
Drama,Jurassic Park ,13.49
Drama,Jurassic Park ,13.49
Horror,Jurassic Park ,13.49
Horror,Jurassic Park ,13.49
Horror,Jurassic Park ,13.49
Horror,Jurassic Park ,13.49
Horror,Jurassic Park ,13.49
Horror,Jurassic Park ,13.49
Action,Jurassic Park ,25.95
Action,Jurassic Park ,25.95
Action,Jurassic Park ,25.95
Action,Jurassic Park ,25.95
Action,Jurassic Park ,25.95
Action,Jurassic Park ,25.95
Adventure,Jurassic Park ,25.95
Adventure,Jurassic Park ,25.95
Adventure,Jurassic Park ,25.95
Adventure,Jurassic Park ,25.95
Adventure,Jurassic Park ,25.95
Adventure,Jurassic Park ,25.95
Drama,Jurassic Park ,25.95
Drama,Jurassic Park ,25.95
Drama,Jurassic Park ,25.95
Drama,Jurassic Park ,25.95
Drama,Jurassic Park ,25.95
Drama,Jurassic Park ,25.95
Horror,Jurassic Park ,25.95
Horror,Jurassic Park ,25.95
Horror,Jurassic Park ,25.95
Horror,Jurassic Park ,25.95
Horror,Jurassic Park ,25.95
Horror,Jurassic Park ,25.95
Action,The Lord of the Rings: The Two Towers ,15.99
Action,The Lord of the Rings: The Two Towers ,15.99
Action,The Lord of the Rings: The Two Towers ,15.99
Action,The Lord of the Rings: The Two Towers ,15.99
Action,The Lord of the Rings: The Two Towers ,15.99
Action,The Lord of the Rings: The Two Towers ,15.99
Adventure,The Lord of the Rings: The Two Towers ,15.99
Adventure,The Lord of the Rings: The Two Towers ,15.99
Adventure,The Lord of the Rings: The Two Towers ,15.99
Adventure,The Lord of the Rings: The Two Towers ,15.99
Adventure,The Lord of the Rings: The Two Towers ,15.99
Adventure,The Lord of the Rings: The Two Towers ,15.99
Fantasy,The Lord of the Rings: The Two Towers ,15.99
Fantasy,The Lord of the Rings: The Two Towers ,15.99
Fantasy,The Lord of the Rings: The Two Towers ,15.99
Fantasy,The Lord of the Rings: The Two Towers ,15.99
Fantasy,The Lord of the Rings: The Two Towers ,15.99
Fantasy,The Lord of the Rings: The Two Towers ,15.99
Action,The Lord of the Rings: The Two Towers ,13.49
Action,The Lord of the Rings: The Two Towers ,13.49
Action,The Lord of the Rings: The Two Towers ,13.49
Action,The Lord of the Rings: The Two Towers ,13.49
Adventure,The Lord of the Rings: The Two Towers ,13.49
Adventure,The Lord of the Rings: The Two Towers ,13.49
Adventure,The Lord of the Rings: The Two Towers ,13.49
Adventure,The Lord of the Rings: The Two Towers ,13.49
Fantasy,The Lord of the Rings: The Two Towers ,13.49
Fantasy,The Lord of the Rings: The Two Towers ,13.49
Fantasy,The Lord of the Rings: The Two Towers ,13.49
Fantasy,The Lord of the Rings: The Two Towers ,13.49
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Action,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Adventure,The Lord of the Rings: The Two Towers ,19.45
Fantasy,The Lord of the Rings: The Two Towers ,19.45
Fantasy,The Lord of the Rings: The Two Towers ,19.45
Fantasy,The Lord of the Rings: The Two Towers ,19.45
